query_id,document_id,split,analysis_set,question,evidence_set_count,evidence_paragraph_count,evidence_section_count,evidence_section_headings,query_type,coding_notes
8ea4a75dacf6a39f9d385ba14b3dce715a47d689,1610.03807,test,cross_model_core,How was domain relevance estimated?,2,4,2,Domain Relevance | Question expansion and selection,,
1e11e74481ead4b7635922bbe0de041dc2dde28d,1610.03807,test,cross_model_core,How many hand-crafted templates did they have to make?,1,2,2,Evaluation on Freebase | Evaluation on the Domain-specific KB,,
597d3fc9b8c0c036f58cea5b757d0109d5211b2f,1610.03807,test,cross_model_core,How was the fluency measured?,2,5,2,Evaluation on Freebase | Question expansion and selection,,
bb7c80ab28c2aebfdd0bd90b22a55dbdf3a8ed5b,1612.02695,test,cross_model_core,What type of attention is used in the recognition system?,1,1,1,The Speller and the Attention Mechanism,,
6c4e1a1ccc0c5c48115864a6928385c248f4d8ad,1612.02695,test,cross_model_core,What are the solutions proposed for the seq2seq shortcomings?,2,3,2,Label Smoothing Prevents Overconfidence | Solutions to Partial Transcripts Problem,,
fc62549a8f0922c09996a119b2b6a8b5e829e989,1701.03578,test,cross_model_core,Which metrics are used for quantitative analysis?,3,6,2,General-Style to Personal-Style Message-Reply Prediction | Measures,,
a3a867f7b3557c168d05c517c468ff6c7337bff9,1701.03578,test,cross_model_core,What dataset did they use?,2,5,3,General-Style to Personal-Style Message-Reply Prediction | Introduction | Literary-Style to Spoken-Style Sentence Completion,,
8bb2280483af8013a32e0d294e97d44444f08ab0,1701.03578,test,cross_model_core,What metric did they use for qualitative evaluation?,1,1,1,Literary-Style to Spoken-Style Sentence Completion,,
a68acd8364764d5601dc12e4b31d9102fb7d5f7e,1701.03578,test,cross_model_core,What metric did they use for quantitative evaluation?,2,3,2,General-Style to Personal-Style Message-Reply Prediction | Measures,,
6d55e377335815b7ad134d1a2977d231ad34a25b,1701.03578,test,cross_model_core,Which similarity metrics are used for quantitative analysis?,2,3,2,General-Style to Personal-Style Message-Reply Prediction | Measures,,
58a3cfbbf209174fcffe44ce99840c758b448364,1707.05589,test,cross_model_core,what are the recent models they compare with?,3,6,5,Enwik8 | Introduction | Models | Penn Treebank | Wikitext-2,,
6c6e06f7bfb6d30003fd3801fdaf34649ef1b8f4,1707.05589,test,cross_model_core,what were their results on the hutter prize dataset?,2,2,2,Datasets | Enwik8,,
b6e97d1b1565732b1b3f1d74e6d2800dd21be37a,1707.05589,test,cross_model_core,what was their newly established state of the art results?,2,4,3,Datasets | Penn Treebank | Wikitext-2,,
4f8b078b9f60be30520fd32a3d8601ab3babb5c0,1707.05589,test,cross_model_core,what regularisation methods did they look at?,1,2,1,Models,,
54517cded8267ea6c9a3f3cf9c37a8d24b3f7c2c,1707.05589,test,cross_model_core,what architectures were reevaluated?,2,2,2,Introduction | Models,,
97708d93bccc832ea671dc31a76dad6a121fcd60,1707.06875,test,cross_model_core,Which metrics were considered?,2,5,2,Grammar-based metrics (GBMs) | Word-based Metrics (WBMs),,
f11856814a57b86667179e1e275e4f99ff1bcad8,1707.06875,test,cross_model_core,What NLG tasks were considered?,3,7,2,Datasets | End-to-End NLG Systems,,
d9354c0bb32ec037ff2aacfed58d57887a713163,1707.07212,test,cross_model_core,What languages are used as input?,2,3,1,Measuring the Veridicality of Users' Predictions,,
c035a011b737b0a10deeafc3abe6a282b389d48b,1707.07212,test,cross_model_core,What are the components of the classifier?,2,5,2,Features | Veridicality Classifier,,
d3fb0d84d763cb38f400b7de3daaa59ed2a1b0ab,1707.07212,test,cross_model_core,Which uncertain outcomes are forecast using the wisdom of crowds?,1,1,1,Veridicality Classifier,,
79258cea30cd6c0662df4bb712bf667589498a1f,1707.07568,test,cross_model_core,What method did the highest scoring team use?,1,1,1,Description of the Systems,,
8e5ce0d2635e7bdec4ba1b8d695cd06790c8cdaa,1707.07568,test,cross_model_core,What descriptive statistics are provided about the data?,1,1,1,Annotation,,
4e568134c896c4616bc7ab4924686d8d59b57ea1,1707.07568,test,cross_model_core,What was the level of inter-annotator agreement?,1,1,1,Annotation,,
55612e92791296baf18013d2c8dd0474f35af770,1707.07568,test,cross_model_core,What questions were asked in the annotation process?,1,1,1,Annotation,,
2f23bd86a9e27dcd88007c9058ddfce78a1a377b,1707.07568,test,cross_model_core,Why is NER for tweets more challenging as the number of entities increases?,1,1,1,Introduction,,
e0b8a2649e384bbdb17472f8da2c3df4134b1e57,1707.07568,test,cross_model_core,What data preparation steps were used to construct the dataset?,2,6,3,Annotation | Introduction | The Released Dataset,,
55e3daecaf8030ed627e037992402dd0a7dd67ff,1709.06136,test,cross_model_core,By how much do they improve upon supervised traning methods?,1,1,1,Results and Analysis,,
5522a9eeb06221722052e3c38f9b0d0dbe7c13e6,1709.06136,test,cross_model_core,Do they jointly optimize both agents?,1,1,1,Introduction,,
30870a962cf88ac8c8e6b7b795936fd62214f507,1709.06136,test,cross_model_core,Which neural network architecture do they use for the dialog agent and user simulator?,1,2,2,Dialog Agent | User Simulator,,
7ece07a84635269bb19796497847e4517d1e3e61,1709.06136,test,cross_model_core,Do they create the basic dialog agent and basic user simulator separately?,2,2,2,Proposed Framework | Related Work,,
ae2142ee9e093ce485025168f4bcb3da4602739d,1810.02268,test,cross_model_core,did they collect their own contrastive test set?,3,3,3,Automatic extraction of contrastive examples from corpora | Introduction | Test set with contrastive examples,,
ebe1084a06abdabefffc66f029eeb0b69f114fd9,1810.02268,test,cross_model_core,what are the baselines?,3,11,2,Recurrent Models | Transformer Models,,
cfdd583d01abaca923f5c466bb20e1d4b8c749ff,1810.02268,test,cross_model_core,what context aware models were experimented?,3,12,4,Context-Aware NMT Models | Introduction | Recurrent Models | Transformer Models,,
554d798e4ce58fd30820200c474d7e796dc8ba89,1810.02268,test,cross_model_core,what languages did they experiment on?,2,2,2,Automatic extraction of contrastive examples from corpora | Experiments,,
475ef4ad32a8589dae9d97048166d732ae5d7beb,1906.01502,test,cross_model_core,Which languages with different script do they look at?,2,3,1,Generalization across scripts,,
3fd8eab282569b1c18b82f20d579b335ae70e79f,1906.01502,test,cross_model_core,What languages do they experiment with?,2,2,2,Named entity recognition experiments | Part of speech tagging experiments,,
8e9561541f2e928eb239860c2455a254b5aceaeb,1906.01502,test,cross_model_core,What language pairs are affected?,1,5,3,Generalization across scripts | Generalizing across typological features | Introduction,,
50c1bf8b928069f3ffc7f0cb00aa056a163ef336,1906.01502,test,cross_model_core,What evaluation metrics are used?,2,5,5,Effect of language similarity | Effect of vocabulary overlap | Experimental Setup | Generalization across scripts | Part of speech tagging experiments,,
2ddfb40a9e73f382a2eb641c8e22bbb80cef017b,1906.01502,test,cross_model_core,What datasets did they use?,2,3,3,Experimental Setup | Named entity recognition experiments | Part of speech tagging experiments,,
79e61134a6e29141cd19252571ffc92a0b4bc97f,1907.05338,test,cross_model_core,did they test with other pretrained models besides bert?,2,2,1,Overview,,
18fbfb1f88c5487f739aceffd23210a7d4057145,1907.05338,test,cross_model_core,what models did they compare with?,2,5,3,Experiment A: Sequence Labeling | Experiment B: Text Classification | Experiment C: Semantic Similarity Tasks,,
5d3e87937ecebf0695bece08eccefb2f88ad4a0f,1907.05338,test,cross_model_core,what datasets were used for testing?,1,3,3,Experiment A: Sequence Labeling | Experiment B: Text Classification | Experiment C: Semantic Similarity Tasks,,
0f1f81b6d4aa0da38b4cc8b060926e7df61bb646,1909.05190,test,cross_model_core,What is the machine learning method used to make the predictions?,3,7,3,Experiments,,
ec62df859ad901bf0848f0a8b91eedc78dba5657,1909.05190,test,cross_model_core,How is the event prediction task evaluated?,2,2,1,Experiments,,
ccec4f8deff651858f44553f8daa5a19e8ed8d3b,1909.05190,test,cross_model_core,What are the datasets used in the paper?,3,8,7,Commonsense Knowledge Enhanced Event Representations | Experiments | Introduction,,
9a6bf1d481e6896eef9f8fed835d9d29658ede36,1911.06919,test,cross_model_core,Is proposed approach compared to some baselines?,2,2,2,Abstractive Summarization | Petition Popularity Prediction,,
4999da863ecbd40378505bfb1f4e395061a3f559,1911.06919,test,cross_model_core,What datasets are used for this tasks?,2,3,3,Abstractive Summarization | Discourse Feature Extraction | Petition Popularity Prediction,,
3098793595252039f363ee1150d4ea956f2504b8,1911.06919,test,cross_model_core,How big are improvements on these tasks?,1,2,2,Abstractive Summarization | Petition Popularity Prediction,,
1128a600a813116cba9a2cf99d8568ae340f327a,1802.08969,test,granite_extended,What datasets do they use in the experiment?,1,5,2,Exp-I: Multi-task Learning of text classification | Exp-II: Multi-task Learning of Sequence Tagging,,
d64fa192a7e9918c6a22d819abad581af0644c7d,1802.08969,test,granite_extended,What new tasks do they use to show the transferring ability of the shared meta-knowledge?,2,3,3,Exp-I: Multi-task Learning of text classification | Exp-II: Multi-task Learning of Sequence Tagging | Introduction,,
788f70a39c87abf534f4a9ee519f6e5dbf2543c2,1802.08969,test,granite_extended,What kind of meta learning algorithm do they use?,1,1,1,Introduction,,
f92c344e9b1a986754277fd0f08a47dc3e5f9feb,1803.08419,test,granite_extended,What are the limitations of the currently used quantitative metrics? e.g. why are they not 'good'?,2,4,3,Evaluation methods | Introduction | Sequence to Sequence approaches for dialogue modelling,,
b10388e343868ca8e5c7c601ebb903f52e756e61,1803.08419,test,granite_extended,What metrics are typically used to compare models?,2,2,2,Evaluation methods | Introduction,,
e8cdeb3a081d51cc143c7090a54c82d393f1a2ca,1803.08419,test,granite_extended,Is there a benchmark to compare the different approaches?,2,2,2,Conclusion | Evaluation methods,,
833d3ae7613500f2867ed8b33d233d71781014e7,1803.08419,test,granite_extended,What GAN and RL approaches are used?,3,8,5,Actor-Critic Algorithm | End-to-End Reinforcement Learning of Dialogue Agents for Information Access | Initial reinforcement methods | Reinforcement Learning based models | Using Generative Adversarial Network,,
a1a0365bf6968cbdfd1072cf3923c26250bc955c,1803.08419,test,granite_extended,What type of neural models are used?,1,2,2,Language Model based approaches for dialogue modelling | Sequence to Sequence approaches for dialogue modelling,,
64f7337970e8d1989b2e1f7106d86f73c4a3d0af,1803.08419,test,granite_extended,What type of statistical models were used initially?,2,3,1,Machine Learning Methods,,
8fdb4f521d3ba4179f8ccc4c28ba399aab6c3550,1803.08419,test,granite_extended,What was the proposed use of conversational agents in pioneering work?,2,3,2,Early Techniques | Machine Learning Methods,,
a0d45b71feb74774cfdc0d5c6e23cd41bc6bc1f2,1803.08419,test,granite_extended,What work pioneered the field of conversational agents?,1,1,1,Early Techniques,,
d4b84f48460517bc0a6d4e0c38f6853c58081166,1804.01155,test,granite_extended,How do they combine the socioeconomic maps with Twitter data?,2,3,3,Combined dataset: individual socioeconomic features | INSEE dataset: socioeconomic features | Twitter dataset: sociolinguistic features,,
90756bdcd812b7ecc1c5df2298aa7561fd2eb02c,1804.01155,test,granite_extended,Does the fact that people are active during the day time define their SEC?,2,2,2,Network variation | Temporal variation,,
028d0d9b7a71133e51a14a32cd09dea1e2f39f05,1804.01155,test,granite_extended,How did they define standard language?,2,3,3,Linguistic variables | Standard usage of negation | Standard usage of plural ending of written words,,
cfc73e0c82cf1630b923681c450a541a964688b9,1804.01155,test,granite_extended,How do they operationalize socioeconomic status from twitter user data?,1,3,3,Combined dataset: individual socioeconomic features | INSEE dataset: socioeconomic features | Twitter dataset: sociolinguistic features,,
b0e894536857cb249bd75188c3ca5a04e49ff0b6,1906.01615,test,granite_extended,"How do attention, recurrent and convolutional networks differ on the language classes they accept?",1,3,3,Attention | Convolutional Networks | Simple Recurrent Networks,,
94c22f72665dfac3e6e72e40f2ffbc8c99bf849c,1906.01615,test,granite_extended,What type of languages do they test LSTMs on?,2,6,4,Counting | Counting with Noise | Long Short-Term Memory Networks | Reversing,,
1a1d94c981c58e2f2ee18bdfc4abc69fd8f15e14,1911.12848,test,granite_extended,Which languages do they explore?,2,9,6,Current Trending Techniques in NLP | Datasets | Introduction | Sentiment Analysis Levels,,
